#  Las Vegas, Nevada January Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
195301,49.1
195401,44.1
195501,39.9
195601,47.6
195701,42.3
195801,44.8
195901,45.2
196001,39.8
196101,44.5
196201,43.7
196301,40.6
196401,41.4
196501,46.5
196601,42.1
196701,44.7
196801,43.6
196901,47
197001,43.6
197101,44
197201,41.9
197301,40.5
197401,-99
197501,44.8
197601,46.5
197701,44.4
197801,46.7
197901,39.8
198001,49.2
198101,50.7
198201,45.3
198301,46.6
198401,47.1
198501,44.4
198601,51.7
198701,44.7
198801,45.1
198901,43.9
199001,45.2
199101,45.5
199201,45.4
199301,45.1
199401,48.7
199501,46.9
199601,48.5
199701,48.3
199801,48.7
199901,50.5
200001,51.4
200101,46.4
200201,46.1
200301,54.2
200401,47.2
200501,51.2
200601,50
200701,45.8
200801,45.9
200901,50.8
201001,48.6
201101,48.8
201201,50.5
201301,45.5
201401,52.9
201501,52.4
201601,48.1
201701,48.8
201801,53.1
